Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.006000,-0.003774,-0.996036,0.000075,-0.002578,-0.002404,0.045296,0.301816,0.293065,0.003177,0.009657,-1.416278
0.005389,-0.002790,-0.996387,0.001127,0.005022,-0.000165,0.045325,0.301523,0.292383,0.003179,0.009692,-1.416249
0.006451,-0.001641,-0.996807,0.000234,0.006107,-0.001523,0.045198,0.302007,0.292235,0.003152,0.009736,-1.416265
0.006136,-0.003329,-0.996558,-0.000182,-0.001818,0.000860,0.045389,0.301710,0.293549,0.003177,0.009696,-1.416255
0.005174,-0.003228,-0.997205,-0.001732,0.004226,0.000645,0.045168,0.301404,0.293667,0.003186,0.009716,-1.416259
0.006828,-0.003465,-0.995480,-0.002908,-0.002713,-0.004218,0.045144,0.301506,0.293362,0.003137,0.009666,-1.416280
0.006199,-0.003439,-0.997187,0.002285,0.002142,0.000245,0.045112,0.301910,0.293177,0.003169,0.009718,-1.416264
0.005565,-0.002983,-0.996691,0.000174,0.008837,0.003160,0.045049,0.301875,0.292464,0.003195,0.009748,-1.416243
0.006119,-0.002471,-0.996761,0.002937,0.005767,0.001671,0.045257,0.301768,0.292975,0.003226,0.009777,-1.416227
0.005738,-0.002204,-0.995058,0.004437,0.001281,0.003558,0.045573,0.302012,0.293112,0.003269,0.009800,-1.416186
0.005556,-0.003110,-0.996419,0.000523,-0.002110,-0.000699,0.046089,0.301661,0.292645,0.003243,0.009734,-1.416176
0.007350,-0.003240,-0.997181,-0.003799,0.000581,-0.001229,0.045747,0.301356,0.293004,0.003202,0.009731,-1.416182
0.007616,-0.002539,-0.996964,-0.002187,-0.002954,-0.002311,0.045396,0.301576,0.292854,0.003183,0.009698,-1.416180
0.005822,-0.001774,-0.996109,-0.002916,-0.000428,-0.003057,0.045442,0.301517,0.293377,0.003158,0.009692,-1.416200
0.006046,-0.002644,-0.995353,0.001544,-0.001492,-0.002779,0.045686,0.301972,0.293466,0.003170,0.009644,-1.416221
0.006531,-0.002566,-0.996317,0.003859,-0.001409,-0.002896,0.045512,0.301456,0.292783,0.003219,0.009644,-1.416249
0.006658,-0.002690,-0.996800,0.001722,0.006948,-0.000907,0.045658,0.301206,0.292885,0.003242,0.009728,-1.416258
0.006264,-0.002921,-0.996808,-0.002346,0.007149,0.000933,0.045671,0.301540,0.292984,0.003187,0.009752,-1.416221
0.005483,-0.002451,-0.995387,-0.002797,0.000171,0.005644,0.045019,0.301547,0.292306,0.003179,0.009738,-1.416127
0.005950,-0.001445,-0.995362,-0.000848,-0.003045,0.000148,0.045113,0.301982,0.293286,0.003152,0.009679,-1.416148
0.007323,-0.002520,-0.995856,-0.001481,-0.004100,-0.001817,0.045171,0.301909,0.293558,0.003138,0.009633,-1.416151
0.007660,-0.003277,-0.996230,0.001226,-0.001267,-0.000667,0.045462,0.301568,0.292702,0.003175,0.009587,-1.416139
0.007462,-0.003195,-0.997045,0.001143,0.001202,0.000670,0.045494,0.301685,0.292880,0.003163,0.009584,-1.416118
